日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-03-25,8.63,8.38,8.63,8.38,111126,94291476.0,2.89,-3.01,-0.26,5.37
2021-03-26,8.36,8.38,8.51,8.22,109925,91831780.0,3.46,0.0,0.0,5.31
2021-03-29,8.34,8.16,8.35,8.13,102179,84193921.0,2.63,-2.63,-0.22,4.94
2021-03-30,8.17,8.57,8.79,8.11,187404,159376345.0,8.33,5.02,0.41,9.05
2021-03-31,8.55,9.12,9.43,8.3,382894,346910336.0,13.19,6.42,0.55,18.5
2021-04-01,8.86,8.9,8.94,8.63,254789,223196617.0,3.4,-2.41,-0.22,12.31
2021-04-02,8.79,9.06,9.27,8.72,230685,208503764.0,6.18,1.8,0.16,11.14
2021-04-06,8.97,9.35,9.65,8.86,262078,241848260.0,8.72,3.2,0.29,12.66
2021-04-07,9.31,10.29,10.29,9.16,310126,301650240.0,12.09,10.05,0.94,14.98
2021-04-08,11.28,10.2,11.32,10.08,413743,451065904.0,12.05,-0.87,-0.09,19.99
2021-04-09,10.45,9.5,10.69,9.2,580322,578027680.0,14.61,-6.86,-0.7,28.03
2021-04-12,9.23,9.56,9.88,9.02,383136,361110016.0,9.05,0.63,0.06,18.51
2021-04-13,9.35,8.95,9.41,8.9,273509,248953561.0,5.33,-6.38,-0.61,13.21
2021-04-14,8.83,9.06,9.18,8.8,165006,148504357.0,4.25,1.23,0.11,7.97
2021-04-15,9.0,8.64,9.0,8.63,171957,150044300.0,4.08,-4.64,-0.42,8.31
2021-04-16,8.67,8.7,8.78,8.63,118609,103161723.0,1.74,0.69,0.06,5.73
2021-04-19,8.67,8.75,8.83,8.66,120188,105157546.0,1.95,0.57,0.05,5.81
2021-04-20,8.98,9.04,9.59,8.98,241128,220463572.0,6.97,3.31,0.29,11.65
2021-04-21,8.92,9.14,9.38,8.9,184332,168366110.0,5.31,1.11,0.1,8.9
2021-04-22,9.16,9.1,9.17,8.91,150168,135244425.0,2.84,-0.44,-0.04,7.25
2021-04-23,9.03,8.74,9.08,8.71,134321,118460432.0,4.07,-3.96,-0.36,6.49
2021-04-26,8.62,8.36,8.75,8.35,134143,113387779.0,4.58,-4.35,-0.38,6.48
2021-04-27,8.4,8.06,8.41,8.06,104029,84799865.0,4.19,-3.59,-0.3,5.03
2021-04-28,8.01,8.18,8.18,8.0,67631,54805026.0,2.23,1.49,0.12,3.27
2021-04-29,8.12,8.09,8.22,8.06,56396,45831771.0,1.96,-1.1,-0.09,2.72
2021-04-30,8.08,7.77,8.12,7.73,97719,76796856.0,4.82,-3.96,-0.32,4.72
2021-05-06,7.8,7.85,7.93,7.8,53801,42324050.0,1.67,1.03,0.08,2.6
2021-05-07,7.85,7.9,7.94,7.81,55989,44143929.0,1.66,0.64,0.05,2.7
2021-05-10,7.92,7.7,7.95,7.64,89587,69105222.0,3.92,-2.53,-0.2,4.33
2021-05-11,7.68,7.79,7.8,7.62,54038,41722901.0,2.34,1.17,0.09,2.61
2021-05-12,7.72,7.82,7.82,7.69,50425,39135167.0,1.67,0.39,0.03,2.44
2021-05-13,7.77,7.9,8.09,7.72,82095,65110172.0,4.73,1.02,0.08,3.97
2021-05-14,7.91,8.06,8.09,7.9,70632,56740809.0,2.41,2.03,0.16,3.41
2021-05-17,8.02,7.99,8.06,7.91,48328,38534695.0,1.86,-0.87,-0.07,2.33
2021-05-18,8.0,7.92,8.0,7.86,40967,32387489.0,1.75,-0.88,-0.07,1.98
2021-05-19,7.87,7.77,7.92,7.73,61911,48318110.0,2.4,-1.89,-0.15,2.99
2021-05-20,7.78,7.81,7.85,7.67,51227,39699873.0,2.32,0.51,0.04,2.47
2021-05-21,7.81,7.8,7.86,7.77,34630,27037178.0,1.15,-0.13,-0.01,1.67
2021-05-24,7.73,7.69,7.75,7.63,28894,22176775.0,1.54,-1.41,-0.11,1.4
2021-05-25,7.69,7.74,7.75,7.66,37919,29253601.0,1.17,0.65,0.05,1.83
2021-05-26,7.8,8.03,8.04,7.78,93799,74672977.0,3.36,3.75,0.29,4.53
2021-05-27,8.0,7.97,8.07,7.93,66173,52737402.0,1.74,-0.75,-0.06,3.2
2021-05-28,7.97,7.85,7.97,7.84,55151,43470647.0,1.63,-1.51,-0.12,2.66
2021-05-31,7.85,7.87,7.88,7.73,46588,36345880.0,1.91,0.25,0.02,2.25
2021-06-01,7.87,7.95,7.96,7.82,49539,39130623.0,1.78,1.02,0.08,2.39
2021-06-02,7.98,7.86,7.99,7.84,46220,36478413.0,1.89,-1.13,-0.09,2.23
2021-06-03,7.9,7.89,7.93,7.88,36496,28830598.0,0.64,0.38,0.03,1.76
2021-06-04,7.87,7.77,7.87,7.74,52423,40901208.0,1.65,-1.52,-0.12,2.53
2021-06-07,7.75,7.73,7.78,7.7,35513,27449582.0,1.03,-0.51,-0.04,1.72
2021-06-08,7.74,7.75,7.8,7.72,32359,25109326.0,1.03,0.26,0.02,1.56
2021-06-09,7.78,7.76,7.78,7.73,30621,23720790.0,0.65,0.13,0.01,1.48
2021-06-10,7.75,7.67,7.75,7.65,58779,45174945.0,1.29,-1.16,-0.09,2.84
2021-06-11,7.65,7.65,7.71,7.64,32907,25222501.0,0.91,-0.26,-0.02,1.59
2021-06-15,7.67,7.39,7.67,7.37,72193,53710419.0,3.92,-3.4,-0.26,3.49
2021-06-16,7.36,7.36,7.42,7.32,34304,25287650.0,1.35,-0.41,-0.03,1.66
2021-06-17,7.39,7.42,7.48,7.36,36567,27195201.0,1.63,0.82,0.06,1.77
2021-06-18,7.47,7.45,7.48,7.43,26786,19948979.0,0.67,0.4,0.03,1.29
2021-06-21,7.42,7.45,7.47,7.35,34824,25846275.0,1.61,0.0,0.0,1.68
2021-06-22,7.48,7.59,7.68,7.47,56907,43162218.0,2.82,1.88,0.14,2.75
2021-06-23,7.56,7.54,7.61,7.5,39921,30139639.0,1.45,-0.66,-0.05,1.93
2021-06-24,7.51,7.94,8.28,7.51,179984,142886747.0,10.21,5.31,0.4,8.69
2021-06-25,7.8,7.81,7.88,7.73,101059,78802826.0,1.89,-1.64,-0.13,4.88
2021-06-28,7.79,8.01,8.07,7.75,104350,82909972.0,4.1,2.56,0.2,5.04
2021-06-29,7.97,7.89,8.1,7.88,88340,70647613.0,2.75,-1.5,-0.12,4.27
2021-06-30,7.85,7.82,7.91,7.73,71709,55968222.0,2.28,-0.89,-0.07,3.46
2021-07-01,7.8,7.6,7.86,7.55,58894,45496140.0,3.96,-2.81,-0.22,2.85
2021-07-02,7.58,7.61,7.68,7.56,35906,27362873.0,1.58,0.13,0.01,1.73
2021-07-05,7.58,7.64,7.66,7.58,28791,21957208.0,1.05,0.39,0.03,1.39
2021-07-06,7.7,7.83,7.97,7.68,68974,53902072.0,3.8,2.49,0.19,3.33
2021-07-07,7.78,7.89,7.95,7.75,69891,55069249.0,2.55,0.77,0.06,3.38
2021-07-08,7.89,7.72,7.9,7.7,64036,49763664.0,2.53,-2.15,-0.17,3.09
2021-07-09,7.68,7.73,7.8,7.62,44272,34144934.0,2.33,0.13,0.01,2.14
2021-07-12,7.78,7.72,7.83,7.69,47363,36615610.0,1.81,-0.13,-0.01,2.29
2021-07-13,7.71,7.74,7.75,7.64,42954,32972977.0,1.42,0.26,0.02,2.08
2021-07-14,7.72,7.6,7.73,7.59,49351,37711582.0,1.81,-1.81,-0.14,2.38
2021-07-15,7.6,7.48,7.62,7.42,52795,39604575.0,2.63,-1.58,-0.12,2.55
2021-07-16,7.5,7.49,7.55,7.47,30620,22963206.0,1.07,0.13,0.01,1.48
2021-07-19,7.51,7.52,7.55,7.46,25329,19022319.0,1.2,0.4,0.03,1.22
2021-07-20,7.5,7.47,7.5,7.43,30023,22380067.0,0.93,-0.66,-0.05,1.45
2021-07-21,7.47,7.55,7.58,7.47,33936,25586615.0,1.47,1.07,0.08,1.64
2021-07-22,7.55,7.57,7.58,7.5,33959,25608922.0,1.06,0.26,0.02,1.64
2021-07-23,7.57,7.4,7.58,7.37,49327,36834763.0,2.77,-2.25,-0.17,2.38
2021-07-26,7.42,7.23,7.44,7.17,49148,35771715.0,3.65,-2.3,-0.17,2.37
2021-07-27,7.22,7.18,7.27,7.17,27472,19818238.0,1.38,-0.69,-0.05,1.33
2021-07-28,7.15,6.94,7.19,6.94,48952,34238812.0,3.48,-3.34,-0.24,2.36
2021-07-29,6.99,7.02,7.04,6.98,26366,18476817.0,0.86,1.15,0.08,1.27
2021-07-30,6.98,6.99,7.14,6.85,47130,32888191.0,4.13,-0.43,-0.03,2.28
2021-08-02,6.96,7.14,7.15,6.96,37362,26482537.0,2.72,2.15,0.15,1.8
2021-08-03,7.1,7.09,7.18,7.08,31927,22766060.0,1.4,-0.7,-0.05,1.54
2021-08-04,7.09,7.13,7.13,7.04,27753,19671618.0,1.27,0.56,0.04,1.34
2021-08-05,7.11,7.03,7.12,7.01,30953,21853861.0,1.54,-1.4,-0.1,1.5
2021-08-06,7.05,6.95,7.05,6.9,32044,22287099.0,2.13,-1.14,-0.08,1.55
2021-08-09,6.93,7.12,7.16,6.92,39496,27888197.0,3.45,2.45,0.17,1.91
2021-08-10,7.1,7.21,7.24,7.09,46017,33053105.0,2.11,1.26,0.09,2.22
2021-08-11,7.2,7.2,7.23,7.12,34218,24531841.0,1.53,-0.14,-0.01,1.65
2021-08-12,7.18,7.19,7.25,7.17,28122,20245384.0,1.11,-0.14,-0.01,1.36
2021-08-13,7.16,7.23,7.23,7.13,31721,22763290.0,1.39,0.56,0.04,1.53
2021-08-16,7.23,7.35,7.35,7.19,59611,43436396.0,2.21,1.66,0.12,2.88
2021-08-17,7.35,7.15,7.36,7.13,51299,37166085.0,3.13,-2.72,-0.2,2.48
2021-08-18,7.13,7.19,7.2,7.1,34872,24914494.0,1.4,0.56,0.04,1.68
2021-08-19,7.17,7.08,7.19,7.07,33649,23964242.0,1.67,-1.53,-0.11,1.63
2021-08-20,7.08,7.02,7.09,6.95,37867,26480943.0,1.98,-0.85,-0.06,1.83
2021-08-23,6.99,7.3,7.3,6.99,70483,50910845.0,4.42,3.99,0.28,3.4
2021-08-24,7.42,7.27,7.42,7.25,52036,38071608.0,2.33,-0.41,-0.03,2.51
2021-08-25,7.25,7.27,7.31,7.18,35137,25493778.0,1.79,0.0,0.0,1.7
2021-08-26,7.3,7.2,7.31,7.18,34271,24800635.0,1.79,-0.96,-0.07,1.66
2021-08-27,7.2,7.16,7.2,7.1,29156,20847632.0,1.39,-0.56,-0.04,1.41
2021-08-30,7.17,7.16,7.2,7.14,36022,25816313.0,0.84,0.0,0.0,1.74
2021-08-31,7.0,6.77,7.02,6.73,112977,76859472.0,4.05,-5.45,-0.39,5.46
2021-09-01,6.8,6.84,6.86,6.67,53509,36232075.0,2.81,1.03,0.07,2.58
2021-09-02,6.81,6.81,6.84,6.74,33793,22958486.0,1.46,-0.44,-0.03,1.63
2021-09-03,6.81,6.84,6.88,6.81,39561,27057858.0,1.03,0.44,0.03,1.91
2021-09-06,6.86,6.93,6.95,6.85,42226,29182703.0,1.46,1.32,0.09,2.04
2021-09-07,6.94,7.0,7.04,6.91,35286,24662218.0,1.88,1.01,0.07,1.7
2021-09-08,7.0,7.05,7.05,6.98,33622,23592500.0,1.0,0.71,0.05,1.62
2021-09-09,7.04,7.02,7.05,7.01,30066,21115241.0,0.57,-0.43,-0.03,1.45
2021-09-10,7.01,6.94,7.04,6.91,40537,28234787.0,1.85,-1.14,-0.08,1.96
2021-09-13,6.91,7.03,7.04,6.9,34873,24277872.0,2.02,1.3,0.09,1.68
2021-09-14,7.04,6.92,7.05,6.9,38286,26682283.0,2.13,-1.56,-0.11,1.85
2021-09-15,6.92,6.91,6.94,6.81,22555,15541708.0,1.88,-0.14,-0.01,1.09
2021-09-16,6.91,6.89,7.02,6.88,39027,27074848.0,2.03,-0.29,-0.02,1.89
2021-09-17,6.83,6.85,6.92,6.8,29131,19934623.0,1.74,-0.58,-0.04,1.41
2021-09-22,6.81,6.87,6.89,6.7,26311,17889299.0,2.77,0.29,0.02,1.27
2021-09-23,6.88,6.9,6.96,6.87,24906,17214011.0,1.31,0.44,0.03,1.2
2021-09-24,6.88,6.79,6.91,6.78,27244,18598469.0,1.88,-1.59,-0.11,1.32
2021-09-27,6.77,6.66,6.82,6.65,37129,24864013.0,2.5,-1.91,-0.13,1.79
2021-09-28,6.65,6.78,6.85,6.61,36034,24198552.0,3.6,1.8,0.12,1.74
2021-09-29,6.68,6.9,6.94,6.63,67596,46126613.0,4.57,1.77,0.12,3.27
2021-09-30,6.87,6.88,6.98,6.83,44141,30500438.0,2.17,-0.29,-0.02,2.13
2021-10-08,6.88,6.92,6.95,6.85,32104,22163935.0,1.45,0.58,0.04,1.55
2021-10-11,6.9,6.89,6.92,6.86,22880,15758164.0,0.87,-0.43,-0.03,1.11
2021-10-12,6.88,6.76,6.88,6.71,27940,18940585.0,2.47,-1.89,-0.13,1.35
2021-10-13,6.76,6.79,6.83,6.71,18760,12706574.0,1.78,0.44,0.03,0.91
2021-10-14,6.77,6.77,6.82,6.74,18595,12608673.0,1.18,-0.29,-0.02,0.9
2021-10-15,6.75,6.67,6.78,6.67,26400,17757057.0,1.62,-1.48,-0.1,1.28
2021-10-18,6.65,6.71,6.75,6.64,16414,10973453.0,1.65,0.6,0.04,0.79
2021-10-19,6.72,6.68,6.73,6.67,15822,10592863.0,0.89,-0.45,-0.03,0.76
2021-10-20,6.68,6.69,6.7,6.63,14401,9612909.0,1.05,0.15,0.01,0.7
2021-10-21,6.67,6.65,6.69,6.64,15981,10647251.0,0.75,-0.6,-0.04,0.77
2021-10-22,6.66,6.61,6.67,6.59,19380,12836291.0,1.2,-0.6,-0.04,0.94
2021-10-25,6.62,6.65,6.65,6.59,14847,9835028.0,0.91,0.61,0.04,0.72
2021-10-26,6.65,6.54,6.66,6.52,24554,16184804.0,2.11,-1.65,-0.11,1.19
2021-10-27,6.52,6.28,6.61,6.26,40860,26009689.0,5.35,-3.98,-0.26,1.97
2021-10-28,6.27,6.08,6.28,6.06,38170,23366931.0,3.5,-3.18,-0.2,1.84
2021-10-29,6.16,6.13,6.16,6.06,21209,12984613.0,1.64,0.82,0.05,1.02
2021-11-01,6.04,6.14,6.18,5.96,36361,22066925.0,3.59,0.16,0.01,1.76
2021-11-02,6.11,6.02,6.22,5.96,35804,21748661.0,4.23,-1.95,-0.12,1.73
2021-11-03,6.0,6.05,6.12,5.99,21106,12774461.0,2.16,0.5,0.03,1.02
2021-11-04,6.08,6.21,6.25,6.05,34550,21273644.0,3.31,2.64,0.16,1.67
2021-11-05,6.15,6.24,6.32,6.14,27865,17341223.0,2.9,0.48,0.03,1.35
2021-11-08,6.2,6.2,6.22,6.17,14021,8686213.0,0.8,-0.64,-0.04,0.68
2021-11-09,6.19,6.28,6.28,6.18,15876,9907629.0,1.61,1.29,0.08,0.77
2021-11-10,6.27,6.28,6.29,6.17,22884,14262258.0,1.91,0.0,0.0,1.11
2021-11-11,6.24,6.3,6.37,6.24,24193,15288352.0,2.07,0.32,0.02,1.17
2021-11-12,6.3,6.34,6.36,6.21,29024,18272860.0,2.38,0.63,0.04,1.4
2021-11-15,6.33,6.47,6.5,6.32,33410,21487357.0,2.84,2.05,0.13,1.61
2021-11-16,6.46,6.38,6.48,6.35,26101,16703788.0,2.01,-1.39,-0.09,1.26
2021-11-17,6.39,6.44,6.45,6.36,18892,12112198.0,1.41,0.94,0.06,0.91
2021-11-18,6.45,6.41,6.59,6.4,37155,24107088.0,2.95,-0.47,-0.03,1.79
2021-11-19,6.4,6.44,6.48,6.34,25446,16312470.0,2.18,0.47,0.03,1.23
2021-11-22,6.44,6.42,6.45,6.38,14195,9114478.0,1.09,-0.31,-0.02,0.69
2021-11-23,6.46,6.45,6.48,6.41,20103,12954408.0,1.09,0.47,0.03,0.97
2021-11-24,6.48,6.54,6.55,6.45,24151,15731917.0,1.55,1.4,0.09,1.17
2021-11-25,6.53,6.51,6.57,6.48,16435,10707122.0,1.38,-0.46,-0.03,0.79
2021-11-26,6.51,6.38,6.51,6.38,19977,12840423.0,2.0,-2.0,-0.13,0.97
2021-11-29,6.32,6.28,6.32,6.26,22930,14420504.0,0.94,-1.57,-0.1,1.11
2021-11-30,6.26,6.32,6.37,6.26,20675,13086537.0,1.75,0.64,0.04,1.0
2021-12-01,6.32,6.44,6.45,6.31,22255,14212019.0,2.22,1.9,0.12,1.08
2021-12-02,6.45,6.44,6.52,6.43,24722,15982846.0,1.4,0.0,0.0,1.19
2021-12-03,6.42,6.44,6.49,6.4,18513,11925539.0,1.4,0.0,0.0,0.89
2021-12-06,6.44,6.36,6.46,6.33,21399,13693056.0,2.02,-1.24,-0.08,1.03
2021-12-07,6.36,6.27,6.39,6.2,22253,14003152.0,2.99,-1.42,-0.09,1.08
2021-12-08,6.33,6.3,6.33,6.28,15727,9902393.0,0.8,0.48,0.03,0.76
2021-12-09,6.3,6.47,6.64,6.28,60447,39304400.0,5.71,2.7,0.17,2.92
2021-12-10,6.47,6.48,6.57,6.45,28622,18609685.0,1.85,0.15,0.01,1.38
2021-12-13,6.55,6.57,6.64,6.51,37223,24481854.0,2.01,1.39,0.09,1.8
2021-12-14,6.6,6.78,6.89,6.56,81468,54867519.0,5.02,3.2,0.21,3.94
2021-12-15,6.79,6.68,6.8,6.67,47779,32044801.0,1.92,-1.47,-0.1,2.31
2021-12-16,6.66,6.76,6.82,6.65,39372,26515144.0,2.54,1.2,0.08,1.9
2021-12-17,6.77,6.7,6.77,6.67,31046,20800613.0,1.48,-0.89,-0.06,1.5
2021-12-20,6.68,6.71,6.77,6.63,31056,20826016.0,2.09,0.15,0.01,1.5
2021-12-21,6.68,7.05,7.3,6.66,139193,97496370.0,9.54,5.07,0.34,6.72
2021-12-22,7.09,6.94,7.2,6.94,81748,57409786.0,3.69,-1.56,-0.11,3.95
2021-12-23,6.96,6.75,6.97,6.74,63701,43389518.0,3.31,-2.74,-0.19,3.08
2021-12-24,6.76,6.61,6.79,6.6,45104,30073208.0,2.81,-2.07,-0.14,2.18
2021-12-27,6.64,6.77,6.79,6.62,40618,27373994.0,2.57,2.42,0.16,1.86
2021-12-28,6.8,6.78,6.82,6.72,27974,18926953.0,1.48,0.15,0.01,1.28
2021-12-29,6.77,6.77,6.79,6.66,22829,15395503.0,1.92,-0.15,-0.01,1.05
2021-12-30,6.77,6.77,6.83,6.73,21582,14640121.0,1.48,0.0,0.0,0.99
2021-12-31,6.78,6.76,6.82,6.75,25855,17524111.0,1.03,-0.15,-0.01,1.19
2022-01-04,6.78,6.92,6.95,6.77,44010,30280401.0,2.66,2.37,0.16,2.02
2022-01-05,6.91,6.88,6.95,6.83,31493,21648463.0,1.73,-0.58,-0.04,1.44
2022-01-06,6.88,7.0,7.04,6.85,40541,28237149.0,2.76,1.74,0.12,1.86
2022-01-07,7.0,6.89,7.05,6.87,35421,24670889.0,2.57,-1.57,-0.11,1.62
2022-01-10,6.89,6.94,6.98,6.83,21477,14869282.0,2.18,0.73,0.05,0.98
2022-01-11,6.94,6.9,6.96,6.88,26569,18373458.0,1.15,-0.58,-0.04,1.22
2022-01-12,6.94,6.94,6.98,6.88,23339,16168106.0,1.45,0.58,0.04,1.07
2022-01-13,6.94,6.97,7.04,6.92,30101,21006778.0,1.73,0.43,0.03,1.38
2022-01-14,6.98,6.81,7.01,6.75,41266,28352983.0,3.73,-2.3,-0.16,1.89
2022-01-17,6.81,6.87,6.87,6.78,21585,14777227.0,1.32,0.88,0.06,0.99
2022-01-18,6.91,6.73,6.91,6.71,34007,22996420.0,2.91,-2.04,-0.14,1.56
2022-01-19,6.7,6.76,6.8,6.69,17563,11858342.0,1.63,0.45,0.03,0.81
2022-01-20,6.79,6.57,6.8,6.56,31619,20990252.0,3.55,-2.81,-0.19,1.45
2022-01-21,6.65,6.52,6.65,6.48,21119,13782441.0,2.59,-0.76,-0.05,0.97
2022-01-24,6.49,6.46,6.52,6.43,15036,9744285.0,1.38,-0.92,-0.06,0.69
2022-01-25,6.45,6.21,6.46,6.21,30825,19428232.0,3.87,-3.87,-0.25,1.41
2022-01-26,6.14,6.24,6.26,6.14,22677,14103509.0,1.93,0.48,0.03,1.04
2022-01-27,6.24,6.03,6.25,6.01,28208,17258518.0,3.85,-3.37,-0.21,1.29
2022-01-28,6.08,6.18,6.21,6.04,20435,12537171.0,2.82,2.49,0.15,0.94
2022-02-07,6.25,6.21,6.3,6.17,18113,11293002.0,2.1,0.49,0.03,0.83
2022-02-08,6.21,6.33,6.34,6.19,22194,13961740.0,2.42,1.93,0.12,1.02
2022-02-09,6.32,6.36,6.39,6.31,20123,12786466.0,1.26,0.47,0.03,0.92
2022-02-10,6.34,6.34,6.37,6.3,18260,11568894.0,1.1,-0.31,-0.02,0.84
2022-02-11,6.33,6.23,6.33,6.22,20943,13100808.0,1.74,-1.74,-0.11,0.96
2022-02-14,6.23,6.29,6.3,6.21,16134,10110327.0,1.44,0.96,0.06,0.74
2022-02-15,6.29,6.23,6.32,6.19,17538,10943067.0,2.07,-0.95,-0.06,0.8
2022-02-16,6.25,6.32,6.33,6.25,14492,9123546.0,1.28,1.44,0.09,0.66
2022-02-17,6.32,6.24,6.35,6.23,19196,12062290.0,1.9,-1.27,-0.08,0.88
2022-02-18,6.25,6.31,6.31,6.18,15328,9586461.0,2.08,1.12,0.07,0.7
2022-02-21,6.29,6.36,6.36,6.28,16154,10242370.0,1.27,0.79,0.05,0.74
2022-02-22,6.36,6.3,6.36,6.27,18500,11667139.0,1.42,-0.94,-0.06,0.85
2022-02-23,6.29,6.34,6.37,6.29,16177,10257007.0,1.27,0.63,0.04,0.74
2022-02-24,6.34,6.16,6.37,6.1,40168,24992430.0,4.26,-2.84,-0.18,1.84
2022-02-25,6.19,6.17,6.28,6.17,22014,13701232.0,1.79,0.16,0.01,1.01
2022-02-28,6.15,6.16,6.23,6.07,16429,10078065.0,2.59,-0.16,-0.01,0.75
2022-03-01,6.17,6.22,6.22,6.15,20324,12599761.0,1.14,0.97,0.06,0.93
